name,pop2022,pop2020,growth,density,aland_sqmi
Toomsboro,365,383,-0.0470,196,1.8620
Plainville,364,356,0.0225,504,0.7220
Turin,361,347,0.0403,226,1.5950
Barwick,359,363,-0.0110,500,0.7180
Bronwood,356,334,0.0659,451,0.7900
Bishop,354,332,0.0663,452,0.7830
Ila,352,350,0.0057,457,0.7700
Braswell,351,355,-0.0113,111,3.1640
Cadwell,351,381,-0.0787,280,1.2530
Good Hope,351,339,0.0354,191,1.8420
Sale City,348,354,-0.0169,190,1.8340
Cobbtown,339,341,-0.0059,507,0.6690
Dillard,337,337,0,191,1.7610
Centralhatchee,336,348,-0.0345,103,3.2760
Leslie,332,344,-0.0349,188,1.7700
Martin,328,336,-0.0238,131,2.5110
Sharpsburg,325,327,-0.0061,335,0.9690
Gillsville,320,306,0.0458,288,1.1110
Ambrose,317,327,-0.0306,104,3.0500
Rentz,316,312,0.0128,301,1.0500
Higgston,312,314,-0.0064,99,3.1450
Iron City,312,312,0,390,0.7990
Chester,311,525,-0.4076,353,0.8810
Harrison,309,339,-0.0885,181,1.7070
Salem,307,307,0,35,8.8240
